Quận / Huyện,Loại BĐS,Số tin,Giá TV (Tỷ),Giá P25 (Tỷ),Giá P75 (Tỷ),Diện tích TV (m2),Đơn giá TV (Tr/m2),Tỷ lệ có sổ (%),Tỷ lệ môi giới (%),Số ngày đăng TV,Tỷ lệ tin đã gỡ (%),Vi phạm Min/Max (S2),Ngoài P10–P90 (S3)
Quận 1,can_ho,123,6.3,4.85,11.4,72.0,92.86,76.42,60.16,15.05,39.84,15,29
Quận Phú Nhuận,can_ho,126,5.15,3.2,7.2,67.0,74.69,65.87,65.08,11.05,39.68,2,25
Quận 10,can_ho,186,5.15,3.05,9.15,67.5,73.44,63.44,74.73,15.1,40.32,1,38
Quận 4,can_ho,182,6.05,4.5,7.8,80.0,72.82,52.2,85.16,13.05,52.75,0,38
Quận Bình Thạnh,can_ho,422,4.4,3.49,8.69,68.0,68.86,77.01,75.12,15.7,43.84,4,82
Quận 3,can_ho,62,4.72,2.72,7.48,67.0,67.61,82.26,59.68,10.75,41.94,0,15
Quận 7,can_ho,657,4.49,3.4,6.35,73.0,61.33,50.08,80.37,11.0,51.75,1,132
Quận 5,can_ho,149,3.6,2.75,5.49,68.0,56.9,78.52,63.76,12.9,43.62,1,33
Quận Tân Phú,can_ho,510,3.85,3.0,4.97,71.0,55.99,62.35,71.37,11.2,40.59,3,125
Quận Tân Bình,can_ho,269,3.9,2.58,4.7,65.0,55.8,65.8,63.94,12.75,46.47,3,61
Quận 11,can_ho,128,3.25,2.69,4.2,64.0,53.95,79.69,59.38,12.9,36.72,0,31
Thành phố Thủ Đức,can_ho,1251,3.3,2.58,5.07,66.0,53.56,57.95,78.66,10.8,50.76,8,275
